iter	Passed	Remaining
440	1318	1670
441	1320	1666
442	1322	1662
443	1324	1659
444	1327	1655
445	1329	1651
446	1332	1647
447	1334	1644
448	1336	1640
449	1338	1635
450	1341	1632
451	1344	1629
452	1346	1625
453	1348	1621
454	1350	1617
455	1352	1613
456	1354	1609
457	1357	1606
458	1360	1603
459	1362	1599
460	1364	1595
461	1366	1591
462	1368	1587
463	1370	1583
464	1373	1580
465	1376	1577
466	1378	1573
467	1380	1569
468	1382	1565
469	1384	1561
470	1387	1557
471	1389	1553
472	1391	1550
473	1393	1546
474	1395	1542
475	1397	1538
476	1399	1534
477	1402	1531
478	1404	1528
479	1407	1525
480	1409	1521
481	1411	1517
482	1413	1513
483	1415	1509
484	1418	1505
485	1420	1502
486	1423	1499
487	1425	1495
488	1427	1492
489	1429	1488
490	1432	1484
491	1434	1481
492	1437	1477
493	1440	1475
494	1442	1472
495	1444	1468
496	1447	1464
497	1449	1461
498	1452	1458
499	1456	1456
500	1458	1452
501	1460	1448
502	1462	1444
503	1464	1441
504	1467	1438
505	1470	1435
506	1472	1431
507	1474	1428
508	1476	1424
509	1479	1421
510	1481	1417
511	1484	1415
512	1486	1411
513	1488	1407
514	1490	1404
515	1493	1400
516	1495	1397
517	1498	1394
518	1501	1391
519	1503	1388
520	1505	1384
521	1508	1381
522	1510	1377
523	1512	1374
524	1516	1372
525	1520	1370
526	1522	1366
527	1524	1363
528	1526	1359
529	1529	1356
530	1533	1354
531	1535	1350
532	1537	1347
533	1540	1344
534	1551	1348
535	1554	1345
536	1557	1343
537	1560	1340
538	1564	1338
539	1567	1334
540	1569	1331
541	1572	1328
542	1575	1326
543	1578	1323
544	1583	1321
545	1585	1318
546	1588	1315
547	1592	1313
548	1597	1312
549	1600	1309
550	1604	1307
551	1608	1305
552	1613	1304
553	1616	1301
554	1620	1299
555	1624	1297
556	1630	1296
557	1632	1293
558	1637	1291
559	1641	1289
560	1644	1286
561	1647	1283
562	1652	1282
563	1657	1281
564	1660	1278
565	1666	1277
566	1670	1275
567	1675	1274
568	1678	1271
569	1682	1269
570	1686	1267
571	1691	1265
572	1693	1262
573	1698	1260
574	1702	1258
575	1704	1254
576	1706	1251
577	1710	1248
578	1714	1246
579	1717	1243
580	1720	1240
581	1724	1238
582	1727	1235
583	1729	1231
584	1732	1229
585	1736	1227
586	1741	1225
587	1743	1221
588	1745	1217
589	1748	1215
590	1751	1212
591	1756	1210
592	1758	1206
593	1760	1203
594	1763	1200
595	1766	1197
596	1770	1195
597	1773	1191
598	1775	1188
599	1778	1185
600	1781	1183
601	1786	1181
602	1789	1178
603	1792	1175
604	1798	1174
605	1802	1172
606	1804	1168
607	1807	1165
608	1810	1162
609	1813	1159
610	1817	1157
611	1820	1153
612	1822	1150
613	1825	1147
614	1829	1145
615	1832	1142
616	1835	1139
617	1837	1135
618	1840	1133
619	1844	1130
620	1848	1128
621	1851	1125
622	1853	1121
623	1856	1118
624	1860	1116
625	1864	1113
626	1866	1110
627	1868	1106
628	1871	1104
629	1875	1101
630	1878	1098
631	1881	1095
632	1883	1091
633	1886	1088
634	1889	1086
635	1892	1082
636	1896	1080
637	1898	1077
638	1901	1074
639	1904	1071
640	1907	1068
641	1911	1066
642	1914	1062
643	1917	1059
644	1920	1056
645	1922	1053
646	1927	1051
647	1929	1048
648	1931	1044
649	1934	1041
650	1938	1038
651	1942	1036
652	1944	1033
653	1946	1030
654	1949	1026
655	1953	1024
656	1956	1021
657	1960	1018
658	1962	1015
659	1965	1012
660	1969	1010
661	1973	1007
662	1976	1004
663	1978	1001
664	1980	997
665	1982	994
666	1985	991
667	1988	988
668	1991	985
669	1993	981
670	1995	978
671	1998	975
672	2000	972
673	2003	969
674	2006	966
675	2008	962
676	2010	959
677	2013	956
678	2015	952
679	2018	949
680	2021	946
681	2023	943
682	2025	940
683	2027	936
684	2030	933
