iter	Logloss
0	0.6856959336
1	0.676233097
2	0.6700706222
3	0.6632526424
4	0.6556763941
5	0.6480632964
6	0.6400375885
7	0.6317417378
8	0.6243358794
9	0.6180525799
10	0.6104878017
11	0.6035190504
12	0.5978485938
13	0.5913423811
14	0.5854524366
15	0.5790576546
16	0.5729220124
17	0.5673074009
18	0.5610636497
19	0.5551542944
20	0.5493489999
21	0.543934621
22	0.5386636436
23	0.5344063895
24	0.5293304028
25	0.5254742369
26	0.5213309048
27	0.5171286654
28	0.5125667546
29	0.5086147801
30	0.5037869304
31	0.498996553
32	0.4959675276
33	0.491751327
34	0.4876305197
35	0.4834208586
36	0.4806857985
37	0.4772020197
38	0.4738074063
39	0.4696199586
40	0.4658892366
41	0.4616989862
42	0.4591168773
43	0.4554858046
44	0.452784428
45	0.4491975226
46	0.44681902
47	0.4435654725
48	0.4418860714
49	0.4392689815
50	0.4367708479
51	0.4347242239
52	0.4315231219
53	0.428897183
54	0.4265190955
55	0.4236178236
56	0.4216089573
57	0.4188336742
58	0.416897365
59	0.4147281517
60	0.4127169499
61	0.4104695742
62	0.4085076001
63	0.4064264622
64	0.4047893602
65	0.4024032281
66	0.4009204008
67	0.3986211245
68	0.3969089742
69	0.3953277692
70	0.3933805349
71	0.3915559418
72	0.3895193087
73	0.3877754471
74	0.3858575886
75	0.3838784614
76	0.3826425254
77	0.381542647
78	0.3799491415
79	0.3781366673
80	0.3763673743
81	0.3746514353
82	0.3732739922
83	0.3721430253
84	0.3705692681
85	0.3688199569
86	0.3670855671
87	0.365657988
88	0.3643255169
89	0.3625987046
90	0.3614553075
91	0.3598333346
92	0.3586537627
93	0.3571052032
94	0.3557144995
95	0.3545490706
96	0.3534715095
97	0.3524641958
98	0.3515352003
99	0.3506211261
100	0.3495515577
101	0.3479984569
102	0.3469043654
103	0.3456412075
104	0.3442954758
105	0.3432120498
106	0.3420887383
107	0.3413219841
108	0.3400426333
109	0.3389242263
110	0.337900538
111	0.3368391439
112	0.3360357739
113	0.3352313918
114	0.3346413852
115	0.3335779151
116	0.3328079172
117	0.331827021
118	0.3307073165
119	0.3294139265
120	0.3284024349
121	0.327725365
122	0.3267162608
123	0.3259338068
124	0.3248444382
125	0.3236279131
126	0.3227899772
127	0.3217532619
128	0.3205267718
129	0.3197673875
130	0.3189916286
131	0.318538536
132	0.3178733514
133	0.317126579
134	0.3162878906
135	0.3157265592
136	0.3149495547
137	0.3142601325
138	0.3134620563
139	0.3128675604
140	0.3122392512
141	0.3113508419
142	0.3106284888
143	0.309647904
144	0.308890959
145	0.3080422538
146	0.3069502642
147	0.3059855351
148	0.3054893649
149	0.3046408932
150	0.303711197
151	0.3028872483
152	0.3019952579
153	0.3014159949
154	0.3008963137
155	0.3002099277
156	0.2994211936
157	0.2986937542
158	0.2979713492
159	0.297135126
160	0.2965904028
161	0.2958643128
162	0.2948896707
163	0.2942953045
164	0.2936544613
165	0.2931429545
166	0.2925884999
167	0.2919377178
168	0.2913916971
169	0.2908622067
170	0.2901879914
171	0.289637118
172	0.2890830527
173	0.2885817962
174	0.2881952403
175	0.2877091907
176	0.2870937529
177	0.286363978
178	0.2857351757
179	0.2852521624
180	0.2846162757
181	0.283950131
182	0.2832248195
183	0.2826787209
184	0.2821473102
185	0.2816327153
186	0.2815329623
187	0.2810169142
188	0.2805365478
189	0.2798490978
190	0.2792666429
191	0.2787171448
192	0.2780948042
193	0.2774187983
194	0.2771508613
195	0.2765812258
196	0.2759697843
197	0.2756974097
198	0.2752017067
199	0.2744705823
200	0.2738728426
201	0.273152306
202	0.2725712004
203	0.272170787
204	0.2717260763
205	0.2713609034
206	0.2706478923
207	0.270112096
208	0.2696014716
209	0.2691288643
210	0.2687529999
211	0.268372101
212	0.267842429
213	0.2676018695
214	0.2672770494
215	0.2668159381
216	0.266347976
217	0.2658794689
218	0.2655876834
219	0.265071272
220	0.2645961736
221	0.2641656577
222	0.2637744047
223	0.2635220119
224	0.2629176289
225	0.2626095207
226	0.2623095091
227	0.2618369278
228	0.261414197
229	0.2610270182
230	0.2606511538
231	0.2600652993
232	0.2596299567
233	0.2591167632
234	0.2587426633
235	0.2582696928
236	0.2578051042
237	0.257499072
238	0.2571853845
239	0.256541038
240	0.2562554807
241	0.2560084596
242	0.2556301299
243	0.2552668773
244	0.2547480784
245	0.2544064165
246	0.2539455647
247	0.2534191625
248	0.2530815488
249	0.2526112511
250	0.2523664617
251	0.251987068
252	0.2513737062
253	0.250991951
254	0.2505292309
255	0.2501489029
256	0.2498111855
257	0.2494433137
258	0.2490700183
259	0.2487728612
260	0.2485222849
261	0.2481815572
262	0.247844203
263	0.2474778883
264	0.2470004542
265	0.2467448176
266	0.2465148199
267	0.2462076719
268	0.2458192215
269	0.2457083358
270	0.2453155518
271	0.2450569568
272	0.2447807156
273	0.2444238468
274	0.2440155964
275	0.2435939555
276	0.2431181564
277	0.2427017056
278	0.2423647147
279	0.2419321229
280	0.2417050316
281	0.2413811197
282	0.2411357335
283	0.2407924107
284	0.2405799295
285	0.2402238651
286	0.2401267071
287	0.2398334944
288	0.2393201192
289	0.2389884482
290	0.2386857636
291	0.2383872052
292	0.2382419093
293	0.2378363836
294	0.2374583134
295	0.2372284974
296	0.2366286297
297	0.2362947529
298	0.2359688428
299	0.2356580877
300	0.2353121699
301	0.2347575596
302	0.2345334786
303	0.234177025
304	0.233807726
305	0.2334184192
306	0.2331567622
307	0.2329016186
308	0.2327122072
309	0.2323264297
310	0.2319167001
311	0.2316997554
312	0.2311273432
313	0.2308147197
314	0.2303872141
315	0.230226374
316	0.2300923146
317	0.2297888516
318	0.2294890216
319	0.2292729592
320	0.2290086811
321	0.2287277948
322	0.2283103061
323	0.2279581602
324	0.2275733688
325	0.2272085333
326	0.2267360038
327	0.2264865175
328	0.2262353183
329	0.2258832763
330	0.2256124068
331	0.2253380081
332	0.2249383732
333	0.2244555415
334	0.2241800529
335	0.2238535719
336	0.2233779803
337	0.2230097972
338	0.2228051789
339	0.222598277
340	0.2222804634
341	0.2218980854
342	0.2216012916
343	0.2211798324
344	0.22076634
345	0.2204508619
346	0.220147321
347	0.2199024538
348	0.2197334653
349	0.2194625439
350	0.2192610916
351	0.2188163809
352	0.2184190555
353	0.2181784961
354	0.2178424654
355	0.2175634994
356	0.21734274
357	0.2170205149
358	0.2167108367
359	0.2164340117
360	0.2161093212
361	0.2159228552
362	0.2155424884
363	0.2152342504
364	0.2149091448
365	0.2145593864
366	0.2142604127
367	0.2140952519
368	0.2139580526
369	0.2138028048
370	0.2136217623
371	0.2132806843
372	0.2131105929
373	0.212889587
374	0.2126435131
375	0.2122698803
376	0.2118696875
377	0.211627571
378	0.2113835601
379	0.2111464131
380	0.210957352
381	0.2106294827
382	0.2103307166
383	0.210001965
384	0.2098130466
385	0.2094521685
386	0.2090630045
387	0.2087380026
388	0.2084797191
389	0.2083077982
390	0.2078473876
391	0.2075274331
392	0.2071986555
393	0.2068490009
394	0.2065289037
395	0.2061112462
396	0.2058524956
397	0.2057090162
398	0.2054607625
399	0.2051719354
400	0.2048394858
401	0.2046114604
402	0.2043444575
403	0.2041333646
404	0.2039319771
405	0.2037501692
406	0.2034501316
407	0.2030528062
408	0.2028401693
409	0.2025801989
410	0.2023484237
411	0.2018904913
412	0.2016186357
413	0.2013129409
414	0.2009675422
415	0.2007381673
416	0.2005847879
417	0.2003197313
418	0.2001501849
419	0.1999540134
420	0.1996967809
421	0.1994991043
422	0.1992358772
423	0.198981071
424	0.1985814231
425	0.1984150166
426	0.1980796606
427	0.1976681404
428	0.1973589943
429	0.1970933927
430	0.1968797437
431	0.196665926
432	0.1964571557
433	0.1960619453
434	0.1958259401
435	0.1955458842
436	0.1953837207
437	0.1952484416
438	0.1948703844
439	0.1946170314
440	0.1943413871
441	0.1940818709
442	0.1937240808
443	0.1935711556
444	0.1934869987
445	0.1931805643
446	0.1928319347
447	0.1925654379
448	0.1923901954
449	0.192202847
450	0.1920011352
451	0.1918282541
452	0.1916470041
453	0.1914571645
454	0.1912132315
455	0.1910384431
456	0.1908037225
457	0.1904979368
458	0.190326509
459	0.1900921517
460	0.1899372153
461	0.1896933342
462	0.1895121231
463	0.1892986946
464	0.1890982284
465	0.1889304855
466	0.1886938056
467	0.1883955715
468	0.1882043177
469	0.1879047212
470	0.1876643304
471	0.1875436484
472	0.1873092781
473	0.187073208
474	0.1868560298
475	0.18649497
476	0.1862486755
477	0.1859943623
478	0.1857717994
479	0.1854321486
480	0.1852563092
481	0.1849960535
482	0.1847725823
483	0.1845271571
484	0.1844090832
485	0.1843229281
486	0.1839967066
487	0.1837628423
488	0.1835516586
489	0.183351893
490	0.1830599
491	0.182913125
492	0.1826162273
493	0.1823002303
494	0.1820902013
495	0.1819126492
496	0.1815455819
497	0.1813656554
498	0.1812222799
499	0.1810314153
500	0.1807231514
501	0.1805053893
502	0.1803504788
503	0.1801216359
504	0.1799295516
505	0.1797601869
506	0.1795801824
507	0.1792461888
508	0.1789785372
509	0.1787507453
510	0.1785625276
511	0.1781597527
512	0.1779756092
513	0.1778321169
514	0.1775837983
515	0.1775150948
516	0.1773716155
517	0.1771720186
518	0.1769878881
519	0.1766821154
520	0.1764623811
521	0.1762843878
522	0.1760754877
523	0.1758274675
524	0.1756706757
525	0.1753295847
526	0.1751572615
527	0.1749383057
528	0.1746369446
529	0.1743057926
530	0.1740615871
531	0.1738189516
532	0.1735062891
533	0.1733973237
534	0.1731482266
535	0.1730636285
536	0.1728702208
537	0.1726515374
538	0.1724266649
539	0.1721011311
540	0.1719134065
541	0.1717673062
542	0.1716473897
543	0.1713550204
544	0.1710863178
545	0.1707715404
546	0.1706697114
547	0.1705349513
548	0.1703696608
549	0.1702064203
550	0.1700234965
551	0.1696936938
552	0.169581822
553	0.1693108747
