iter	Passed	Remaining
143	1311	7793
144	1316	7760
145	1324	7747
146	1328	7711
147	1334	7681
148	1338	7643
149	1341	7604
150	1358	7639
151	1366	7625
152	1373	7601
153	1388	7629
154	1391	7588
155	1399	7572
156	1404	7543
157	1407	7502
158	1415	7485
159	1436	7539
160	1439	7499
161	1444	7470
162	1450	7445
163	1466	7473
164	1469	7439
165	1472	7400
166	1488	7426
167	1492	7393
168	1499	7371
169	1502	7334
170	1505	7297
171	1526	7350
172	1533	7332
173	1543	7329
174	1558	7349
175	1563	7321
176	1566	7285
177	1569	7249
178	1574	7221
179	1580	7201
180	1583	7166
181	1586	7131
182	1596	7128
183	1599	7095
184	1602	7061
185	1614	7065
186	1616	7027
187	1620	6997
188	1625	6973
189	1631	6954
190	1634	6922
191	1640	6904
192	1659	6938
193	1671	6943
194	1690	6977
195	1705	6997
196	1712	6982
197	1733	7020
198	1739	7002
199	1744	6976
200	1747	6946
201	1751	6918
202	1760	6913
203	1766	6892
204	1784	6919
205	1788	6893
206	1803	6910
207	1813	6906
208	1818	6882
209	1824	6863
210	1827	6833
211	1831	6805
212	1836	6786
213	1846	6781
214	1852	6763
215	1856	6738
216	1863	6725
217	1868	6703
218	1873	6680
219	1877	6657
220	1882	6635
221	1886	6611
222	1889	6583
223	1895	6565
224	1902	6552
225	1906	6528
226	1914	6520
227	1919	6499
228	1925	6481
229	1931	6466
230	1936	6446
231	1942	6429
232	1950	6420
233	1955	6399
234	1961	6383
235	1964	6359
236	1969	6341
237	1974	6320
238	1978	6299
239	1981	6274
240	1985	6253
241	1990	6234
242	1993	6210
243	1996	6186
244	2005	6178
245	2009	6160
246	2014	6141
247	2019	6122
248	2023	6104
249	2037	6111
250	2045	6104
251	2059	6111
252	2069	6110
253	2076	6099
254	2086	6096
255	2094	6086
256	2107	6093
257	2125	6111
258	2137	6116
259	2142	6098
260	2151	6091
261	2156	6075
262	2162	6061
263	2169	6048
264	2175	6032
265	2185	6031
266	2195	6028
267	2211	6039
268	2220	6033
269	2226	6019
270	2233	6008
271	2248	6019
272	2255	6007
273	2267	6008
274	2272	5991
275	2279	5979
276	2286	5967
277	2293	5957
278	2300	5944
279	2305	5927
280	2311	5913
281	2317	5899
282	2325	5891
283	2331	5877
284	2338	5866
285	2347	5860
286	2352	5843
287	2358	5830
288	2363	5815
289	2371	5807
290	2379	5796
291	2385	5783
292	2391	5771
293	2401	5767
294	2409	5757
295	2412	5738
296	2523	5973
297	2529	5957
298	2536	5946
299	2543	5934
300	2557	5939
301	2562	5922
302	2571	5915
303	2578	5903
304	2582	5885
305	2590	5875
306	2594	5856
307	2598	5837
308	2601	5816
309	2605	5799
310	2608	5779
311	2611	5758
312	2616	5742
313	2621	5726
314	2623	5705
315	2627	5686
316	2631	5669
317	2636	5653
318	2639	5634
319	2642	5614
320	2646	5597
321	2649	5578
322	2653	5561
323	2656	5542
324	2659	5522
325	2663	5506
326	2668	5493
327	2673	5476
328	2675	5457
329	2680	5441
330	2684	5426
331	2688	5408
332	2691	5390
333	2696	5377
334	2702	5365
335	2705	5347
336	2710	5333
337	2715	5319
338	2719	5302
339	2722	5285
340	2726	5269
341	2730	5253
342	2734	5236
343	2737	5220
344	2740	5203
345	2747	5192
346	2750	5176
347	2753	5158
348	2756	5142
349	2760	5127
350	2765	5113
351	2769	5097
352	2773	5083
353	2776	5067
354	2782	5055
355	2785	5039
356	2789	5024
357	2793	5009
358	2797	4994
359	2800	4977
360	2803	4961
361	2807	4947
362	2812	4934
363	2815	4918
364	2818	4902
365	2821	4887
366	2825	4873
367	2829	4859
368	2832	4843
369	2835	4827
370	2839	4813
371	2844	4801
372	2847	4785
373	2850	4770
374	2854	4756
375	2858	4743
376	2861	4728
377	2864	4713
378	2868	4699
379	2871	4685
380	2876	4673
381	2879	4658
382	2882	4643
383	2887	4631
384	2892	4620
385	2895	4605
386	2898	4590
387	2902	4578
388	2907	4566
389	2910	4551
390	2913	4537
391	2916	4523
392	2920	4510
393	2924	4498
394	2927	4484
395	2930	4469
396	2935	4458
397	2939	4446
398	2942	4432
399	2946	4419
400	2950	4406
401	2954	4395
402	2957	4381
403	2960	4368
404	2964	4355
405	2967	4341
406	2971	4329
407	2975	4317
408	2978	4303
409	2982	4291
410	2986	4280
411	2989	4266
412	2992	4253
413	2996	4241
414	3000	4229
415	3004	4218
416	3007	4204
417	3015	4198
418	3019	4186
419	3022	4173
420	3025	4161
421	3028	4148
422	3031	4135
423	3036	4124
424	3039	4112
425	3042	4099
426	3047	4088
427	3051	4078
428	3054	4066
429	3057	4053
430	3061	4041
431	3065	4030
432	3069	4019
433	3072	4007
434	3076	3995
435	3079	3983
436	3084	3973
437	3088	3962
438	3091	3950
439	3094	3939
440	3099	3929
441	3102	3917
442	3105	3904
443	3108	3892
444	3112	3881
445	3116	3871
446	3119	3859
447	3122	3847
448	3126	3836
449	3131	3827
450	3134	3815
451	3137	3803
452	3141	3793
453	3146	3783
454	3149	3772
455	3152	3760
456	3156	3750
457	3159	3738
458	3163	3728
459	3166	3716
460	3169	3706
461	3174	3696
462	3178	3686
463	3181	3675
464	3184	3663
465	3188	3653
466	3193	3645
467	3196	3634
468	3199	3623
469	3203	3612
470	3206	3601
471	3209	3590
472	3212	3579
473	3216	3569
474	3219	3557
475	3222	3547
476	3226	3538
477	3230	3527
478	3233	3516
479	3237	3506
480	3241	3497
481	3244	3486
482	3247	3476
483	3251	3466
484	3254	3456
485	3259	3447
486	3262	3436
487	3265	3425
488	3270	3417
489	3274	3408
490	3277	3398
491	3281	3387
492	3285	3378
493	3290	3370
494	3293	3359
495	3296	3349
496	3299	3339
497	3303	3329
498	3307	3320
499	3310	3310
500	3313	3300
501	3317	3290
502	3321	3282
503	3324	3272
504	3328	3262
505	3331	3252
506	3334	3242
507	3339	3234
508	3342	3224
509	3345	3213
510	3349	3205
511	3353	3196
512	3356	3186
513	3359	3176
514	3363	3167
515	3367	3158
516	3371	3149
517	3374	3139
518	3377	3130
519	3381	3121
520	3385	3112
521	3388	3102
522	3391	3093
523	3394	3083
524	3398	3074
525	3402	3066
526	3405	3056
527	3408	3047
528	3412	3038
529	3416	3029
530	3419	3020
531	3422	3011
532	3426	3001
533	3429	2993
534	3433	2984
535	3436	2975
536	3439	2965
537	3444	2957
538	3448	2949
539	3451	2939
540	3454	2930
541	3457	2921
542	3462	2914
543	3465	2905
544	3468	2895
545	3471	2886
546	3475	2878
547	3480	2870
548	3484	2862
549	3487	2853
550	3491	2845
551	3498	2839
552	3501	2830
553	3504	2821
554	3508	2812
555	3513	2805
556	3516	2796
557	3522	2790
558	3527	2782
559	3532	2775
560	3538	2769
561	3545	2763
562	3548	2754
563	3551	2745
564	3555	2737
565	3561	2731
566	3564	2722
567	3570	2715
568	3574	2707
569	3577	2699
570	3581	2690
571	3586	2683
572	3591	2676
573	3595	2668
574	3600	2661
575	3604	2653
576	3609	2646
577	3612	2637
578	3616	2629
579	3620	2621
580	3625	2614
581	3630	2607
582	3633	2598
583	3636	2590
584	3642	2583
585	3645	2575
586	3650	2568
587	3654	2560
588	3658	2552
589	3661	2544
590	3664	2535
591	3668	2528
592	3672	2520
593	3676	2512
594	3679	2504
595	3683	2496
596	3688	2489
597	3691	2481
598	3694	2473
599	3698	2465
600	3703	2458
601	3708	2451
602	3711	2443
603	3715	2435
604	3720	2429
605	3723	2420
606	3726	2412
607	3731	2405
608	3736	2398
609	3739	2390
610	3742	2382
611	3747	2376
612	3752	2369
613	3756	2361
614	3761	2355
615	3765	2347
616	3770	2340
617	3773	2332
618	3778	2325
619	3784	2319
620	3789	2312
621	3794	2305
622	3797	2297
623	3802	2291
624	3805	2283
625	3810	2276
626	3814	2269
627	3818	2262
628	3823	2255
629	3827	2248
630	3833	2242
631	3838	2235
632	3841	2227
633	3849	2222
634	3854	2215
635	3857	2207
636	3862	2201
637	3866	2193
638	3871	2187
639	3876	2180
640	3881	2174
641	3886	2167
642	3891	2160
643	3900	2156
644	3903	2148
645	3909	2142
646	3914	2135
647	3918	2128
648	3922	2121
649	3929	2115
650	3934	2109
651	3947	2106
652	3951	2099
653	3958	2094
654	3964	2088
655	3967	2080
656	3971	2073
657	3976	2066
658	3980	2059
659	3985	2052
660	3989	2046
661	3995	2039
662	3998	2032
663	4002	2025
664	4007	2018
665	4011	2011
666	4014	2004
667	4018	1996
668	4021	1989
669	4026	1983
670	4029	1975
671	4032	1968
672	4037	1961
673	4041	1954
674	4045	1947
675	4047	1940
676	4051	1933
677	4055	1926
678	4059	1918
679	4062	1911
680	4065	1904
681	4069	1897
682	4074	1890
683	4077	1883
684	4080	1876
685	4084	1869
686	4088	1862
687	4091	1855
688	4094	1848
689	4098	1841
690	4101	1834
691	4106	1827
692	4108	1820
693	4111	1813
694	4116	1806
695	4120	1799
696	4123	1792
697	4126	1785
698	4129	1778
699	4132	1771
700	4136	1764
701	4139	1757
702	4142	1750
703	4146	1743
704	4149	1736
705	4154	1729
706	4157	1722
707	4160	1716
708	4164	1709
709	4168	1702
710	4171	1695
711	4174	1688
712	4177	1681
713	4183	1675
714	4186	1668
715	4189	1661
716	4192	1654
717	4196	1648
718	4201	1642
719	4204	1635
720	4207	1628
721	4211	1621
722	4214	1614
723	4218	1608
724	4221	1601
725	4224	1594
726	4231	1588
727	4235	1582
728	4238	1575
729	4242	1569
730	4250	1563
731	4253	1557
732	4256	1550
733	4260	1543
734	4266	1538
735	4270	1531
736	4274	1525
737	4277	1518
738	4282	1512
739	4286	1505
740	4289	1499
741	4293	1492
742	4297	1486
743	4300	1479
744	4303	1472
745	4307	1466
746	4312	1460
747	4315	1453
748	4318	1447
749	4321	1440
750	4324	1433
751	4328	1427
752	4331	1420
753	4334	1414
754	4338	1407
755	4341	1401
756	4345	1395
757	4349	1388
758	4352	1381
759	4356	1375
760	4361	1369
761	4364	1363
762	4367	1356
763	4370	1350
764	4374	1343
765	4378	1337
766	4381	1331
767	4384	1324
768	4388	1318
769	4392	1312
770	4395	1305
771	4398	1299
772	4402	1292
773	4405	1286
774	4409	1280
775	4412	1273
776	4415	1267
777	4419	1261
778	4424	1255
779	4427	1248
780	4430	1242
781	4433	1235
782	4439	1230
783	4442	1224
784	4446	1217
785	4449	1211
786	4452	1205
787	4457	1199
788	4459	1192
789	4463	1186
790	4467	1180
791	4472	1174
792	4475	1168
793	4478	1161
794	4482	1155
795	4485	1149
796	4490	1143
797	4493	1137
798	4495	1131
799	4500	1125
800	4505	1119
801	4508	1113
802	4511	1106
803	4514	1100
804	4519	1094
805	4522	1088
806	4525	1082
807	4528	1076
808	4533	1070
809	4537	1064
810	4540	1058
811	4543	1051
812	4547	1046
813	4552	1040
814	4555	1034
815	4558	1027
816	4561	1021
817	4565	1015
818	4569	1009
819	4572	1003
820	4575	997
821	4579	991
822	4584	985
823	4587	979
824	4590	973
825	4594	967
826	4597	961
827	4601	955
828	4604	949
829	4607	943
830	4613	938
831	4617	932
832	4621	926
833	4624	920
834	4629	914
835	4633	909
836	4636	903
837	4640	897
838	4644	891
839	4649	885
840	4653	879
841	4656	873
842	4660	867
843	4665	862
844	4668	856
845	4671	850
846	4675	844
847	4677	838
848	4681	832
849	4684	826
850	4688	820
851	4692	815
852	4697	809
853	4700	803
854	4706	798
855	4709	792
856	4714	786
857	4717	780
858	4721	775
859	4725	769
860	4730	763
861	4733	757
862	4737	752
863	4741	746
864	4746	740
865	4751	735
866	4754	729
867	4760	723
868	4763	718
869	4767	712
870	4772	706
871	4777	701
872	4782	695
873	4785	689
874	4790	684
875	4794	678
876	4798	672
877	4801	667
878	4806	661
879	4810	655
880	4813	650
881	4816	644
882	4822	639
883	4827	633
884	4830	627
885	4837	622
886	4845	617
887	4851	611
888	4858	606
889	4862	600
890	4868	595
891	4874	590
892	4877	584
893	4881	578
894	4887	573
895	4893	567
896	4899	562
897	4904	557
898	4907	551
899	4912	545
900	4916	540
901	4922	534
902	4925	529
903	4929	523
904	4934	517
905	4939	512
906	4944	506
907	4950	501
908	4955	496
909	4959	490
910	4963	484
911	4969	479
912	4974	474
913	4978	468
914	4988	463
915	4997	458
916	5004	453
917	5008	447
918	5013	441
919	5018	436
920	5022	430
921	5026	425
922	5032	419
923	5037	414
924	5041	408
925	5047	403
926	5053	397
927	5058	392
928	5061	386
929	5067	381
930	5070	375
931	5075	370
932	5079	364
933	5083	359
934	5087	353
935	5092	348
936	5097	342
937	5102	337
938	5108	331
939	5114	326
940	5118	320
941	5123	315
942	5129	310
943	5135	304
944	5139	299
945	5144	293
946	5148	288
947	5153	282
948	5159	277
949	5167	271
950	5176	266
951	5180	261
952	5185	255
953	5191	250
954	5194	244
955	5198	239
956	5202	233
957	5207	228
958	5211	222
959	5214	217
960	5219	211
961	5224	206
962	5228	200
963	5234	195
964	5239	190
965	5243	184
966	5246	179
967	5252	173
968	5258	168
969	5261	162
970	5266	157
971	5274	151
972	5279	146
973	5284	141
974	5289	135
975	5294	130
976	5298	124
977	5304	119
978	5308	113
979	5314	108
980	5322	103
981	5328	97
982	5333	92
983	5339	86
984	5343	81
985	5348	75
986	5353	70
987	5359	65
988	5365	59
989	5371	54
990	5376	48
991	5384	43
992	5392	38
993	5400	32
994	5408	27
995	5422	21
996	5431	16
997	5437	10
998	5444	5
999	5452	0
